message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
1024,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,11727.6897,0,0
1024,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,11282.9739,0,0
1024,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,10860.9417,0,0
1024,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,11105.3557,0,0
1024,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,10549.9230,0,0
4096,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,13552.9832,0,0
4096,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12631.2167,0,0
4096,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,13293.2950,0,0
4096,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12717.3320,0,0
4096,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,13526.8312,0,0
16384,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12933.4721,0,0
16384,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,11611.5393,0,0
16384,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,13250.9264,0,0
16384,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12544.3111,0,0
16384,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12871.8223,0,0
65536,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,13170.3059,0,0
65536,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12296.9570,0,0
65536,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12292.9623,0,0
65536,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12319.4608,0,0
65536,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12689.4839,0,0
262144,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12480.8276,0,0
262144,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,12767.9588,0,0
262144,10737418240,3,2,4,0,false,1,0,0,EMBARCADERO,13436.4304,0,0
