Latency_us,CumulativeProbability,Metric
2892,0.42935780,append_submit_to_ack_batch_latency
2893,0.43119266,append_submit_to_ack_batch_latency
2893,0.43302752,append_submit_to_ack_batch_latency
2893,0.43486239,append_submit_to_ack_batch_latency
2894,0.43669725,append_submit_to_ack_batch_latency
2894,0.43853211,append_submit_to_ack_batch_latency
2897,0.44036697,append_submit_to_ack_batch_latency
2898,0.44220183,append_submit_to_ack_batch_latency
2898,0.44403670,append_submit_to_ack_batch_latency
2898,0.44587156,append_submit_to_ack_batch_latency
2898,0.44770642,append_submit_to_ack_batch_latency
2898,0.44954128,append_submit_to_ack_batch_latency
2899,0.45137615,append_submit_to_ack_batch_latency
2900,0.45321101,append_submit_to_ack_batch_latency
2901,0.45504587,append_submit_to_ack_batch_latency
2901,0.45688073,append_submit_to_ack_batch_latency
2903,0.45871560,append_submit_to_ack_batch_latency
2905,0.46055046,append_submit_to_ack_batch_latency
2906,0.46238532,append_submit_to_ack_batch_latency
2918,0.46422018,append_submit_to_ack_batch_latency
2926,0.46605505,append_submit_to_ack_batch_latency
2944,0.46788991,append_submit_to_ack_batch_latency
2945,0.46972477,append_submit_to_ack_batch_latency
2945,0.47155963,append_submit_to_ack_batch_latency
2945,0.47339450,append_submit_to_ack_batch_latency
2946,0.47522936,append_submit_to_ack_batch_latency
2946,0.47706422,append_submit_to_ack_batch_latency
2946,0.47889908,append_submit_to_ack_batch_latency
2948,0.48073394,append_submit_to_ack_batch_latency
2949,0.48256881,append_submit_to_ack_batch_latency
2950,0.48440367,append_submit_to_ack_batch_latency
2950,0.48623853,append_submit_to_ack_batch_latency
2951,0.48807339,append_submit_to_ack_batch_latency
2951,0.48990826,append_submit_to_ack_batch_latency
2951,0.49174312,append_submit_to_ack_batch_latency
2952,0.49357798,append_submit_to_ack_batch_latency
2952,0.49541284,append_submit_to_ack_batch_latency
2952,0.49724771,append_submit_to_ack_batch_latency
2952,0.49908257,append_submit_to_ack_batch_latency
2952,0.50091743,append_submit_to_ack_batch_latency
2953,0.50275229,append_submit_to_ack_batch_latency
2953,0.50458716,append_submit_to_ack_batch_latency
2953,0.50642202,append_submit_to_ack_batch_latency
2954,0.50825688,append_submit_to_ack_batch_latency
2955,0.51009174,append_submit_to_ack_batch_latency
2955,0.51192661,append_submit_to_ack_batch_latency
2955,0.51376147,append_submit_to_ack_batch_latency
2955,0.51559633,append_submit_to_ack_batch_latency
2955,0.51743119,append_submit_to_ack_batch_latency
2955,0.51926606,append_submit_to_ack_batch_latency
2956,0.52110092,append_submit_to_ack_batch_latency
2956,0.52293578,append_submit_to_ack_batch_latency
2957,0.52477064,append_submit_to_ack_batch_latency
2957,0.52660550,append_submit_to_ack_batch_latency
2958,0.52844037,append_submit_to_ack_batch_latency
2958,0.53027523,append_submit_to_ack_batch_latency
2958,0.53211009,append_submit_to_ack_batch_latency
2958,0.53394495,append_submit_to_ack_batch_latency
2958,0.53577982,append_submit_to_ack_batch_latency
2958,0.53761468,append_submit_to_ack_batch_latency
2959,0.53944954,append_submit_to_ack_batch_latency
2959,0.54128440,append_submit_to_ack_batch_latency
2960,0.54311927,append_submit_to_ack_batch_latency
2960,0.54495413,append_submit_to_ack_batch_latency
2960,0.54678899,append_submit_to_ack_batch_latency
2962,0.54862385,append_submit_to_ack_batch_latency
2962,0.55045872,append_submit_to_ack_batch_latency
2962,0.55229358,append_submit_to_ack_batch_latency
2964,0.55412844,append_submit_to_ack_batch_latency
2965,0.55596330,append_submit_to_ack_batch_latency
2966,0.55779817,append_submit_to_ack_batch_latency
2968,0.55963303,append_submit_to_ack_batch_latency
2972,0.56146789,append_submit_to_ack_batch_latency
2974,0.56330275,append_submit_to_ack_batch_latency
2992,0.56513761,append_submit_to_ack_batch_latency
3002,0.56697248,append_submit_to_ack_batch_latency
3006,0.56880734,append_submit_to_ack_batch_latency
3007,0.57064220,append_submit_to_ack_batch_latency
3008,0.57247706,append_submit_to_ack_batch_latency
3009,0.57431193,append_submit_to_ack_batch_latency
3010,0.57614679,append_submit_to_ack_batch_latency
3010,0.57798165,append_submit_to_ack_batch_latency
3011,0.57981651,append_submit_to_ack_batch_latency
3011,0.58165138,append_submit_to_ack_batch_latency
3011,0.58348624,append_submit_to_ack_batch_latency
3012,0.58532110,append_submit_to_ack_batch_latency
3012,0.58715596,append_submit_to_ack_batch_latency
3012,0.58899083,append_submit_to_ack_batch_latency
3012,0.59082569,append_submit_to_ack_batch_latency
3013,0.59266055,append_submit_to_ack_batch_latency
3013,0.59449541,append_submit_to_ack_batch_latency
3013,0.59633028,append_submit_to_ack_batch_latency
3013,0.59816514,append_submit_to_ack_batch_latency
3014,0.60000000,append_submit_to_ack_batch_latency
3014,0.60183486,append_submit_to_ack_batch_latency
3014,0.60366972,append_submit_to_ack_batch_latency
3014,0.60550459,append_submit_to_ack_batch_latency
3014,0.60733945,append_submit_to_ack_batch_latency
3014,0.60917431,append_submit_to_ack_batch_latency
3015,0.61100917,append_submit_to_ack_batch_latency
3016,0.61284404,append_submit_to_ack_batch_latency
3017,0.61467890,append_submit_to_ack_batch_latency
3017,0.61651376,append_submit_to_ack_batch_latency
3018,0.61834862,append_submit_to_ack_batch_latency
3019,0.62018349,append_submit_to_ack_batch_latency
3019,0.62201835,append_submit_to_ack_batch_latency
3019,0.62385321,append_submit_to_ack_batch_latency
3019,0.62568807,append_submit_to_ack_batch_latency
3021,0.62752294,append_submit_to_ack_batch_latency
3021,0.62935780,append_submit_to_ack_batch_latency
3021,0.63119266,append_submit_to_ack_batch_latency
3021,0.63302752,append_submit_to_ack_batch_latency
3021,0.63486239,append_submit_to_ack_batch_latency
3022,0.63669725,append_submit_to_ack_batch_latency
3023,0.63853211,append_submit_to_ack_batch_latency
3023,0.64036697,append_submit_to_ack_batch_latency
3024,0.64220183,append_submit_to_ack_batch_latency
3024,0.64403670,append_submit_to_ack_batch_latency
3025,0.64587156,append_submit_to_ack_batch_latency
3026,0.64770642,append_submit_to_ack_batch_latency
3026,0.64954128,append_submit_to_ack_batch_latency
3027,0.65137615,append_submit_to_ack_batch_latency
3028,0.65321101,append_submit_to_ack_batch_latency
3029,0.65504587,append_submit_to_ack_batch_latency
3029,0.65688073,append_submit_to_ack_batch_latency
3029,0.65871560,append_submit_to_ack_batch_latency
3030,0.66055046,append_submit_to_ack_batch_latency
3032,0.66238532,append_submit_to_ack_batch_latency
3032,0.66422018,append_submit_to_ack_batch_latency
3033,0.66605505,append_submit_to_ack_batch_latency
3036,0.66788991,append_submit_to_ack_batch_latency
3036,0.66972477,append_submit_to_ack_batch_latency
3036,0.67155963,append_submit_to_ack_batch_latency
3037,0.67339450,append_submit_to_ack_batch_latency
3037,0.67522936,append_submit_to_ack_batch_latency
3038,0.67706422,append_submit_to_ack_batch_latency
3040,0.67889908,append_submit_to_ack_batch_latency
3041,0.68073394,append_submit_to_ack_batch_latency
3043,0.68256881,append_submit_to_ack_batch_latency
3043,0.68440367,append_submit_to_ack_batch_latency
3044,0.68623853,append_submit_to_ack_batch_latency
