Latency_us,CumulativeProbability
3727,0.31535270
3727,0.31742739
3727,0.31950207
3727,0.32157676
3727,0.32365145
3727,0.32572614
3727,0.32780083
3727,0.32987552
3727,0.33195021
3727,0.33402490
3727,0.33609959
3727,0.33817427
3727,0.34024896
3728,0.34232365
3728,0.34439834
3728,0.34647303
3728,0.34854772
3728,0.35062241
3728,0.35269710
3728,0.35477178
3728,0.35684647
3728,0.35892116
3728,0.36099585
3728,0.36307054
3728,0.36514523
3729,0.36721992
3729,0.36929461
3729,0.37136929
3729,0.37344398
3729,0.37551867
3729,0.37759336
3729,0.37966805
3729,0.38174274
3729,0.38381743
3729,0.38589212
3729,0.38796680
3729,0.39004149
3730,0.39211618
3730,0.39419087
3730,0.39626556
3730,0.39834025
3730,0.40041494
3730,0.40248963
3730,0.40456432
3730,0.40663900
3730,0.40871369
3730,0.41078838
3730,0.41286307
3730,0.41493776
3730,0.41701245
3731,0.41908714
3731,0.42116183
3731,0.42323651
3731,0.42531120
3731,0.42738589
3731,0.42946058
3731,0.43153527
3731,0.43360996
3731,0.43568465
3731,0.43775934
3731,0.43983402
3731,0.44190871
3731,0.44398340
3732,0.44605809
3732,0.44813278
3732,0.45020747
3732,0.45228216
3732,0.45435685
3732,0.45643154
3732,0.45850622
3732,0.46058091
3732,0.46265560
3732,0.46473029
3732,0.46680498
3732,0.46887967
3732,0.47095436
3732,0.47302905
3732,0.47510373
3732,0.47717842
3733,0.47925311
3733,0.48132780
3733,0.48340249
3733,0.48547718
3733,0.48755187
3733,0.48962656
3733,0.49170124
3733,0.49377593
3733,0.49585062
3733,0.49792531
3733,0.50000000
3733,0.50207469
3733,0.50414938
3733,0.50622407
3733,0.50829876
3733,0.51037344
3733,0.51244813
3734,0.51452282
3734,0.51659751
3734,0.51867220
3734,0.52074689
3734,0.52282158
3734,0.52489627
3734,0.52697095
3734,0.52904564
3734,0.53112033
3734,0.53319502
3734,0.53526971
3734,0.53734440
3734,0.53941909
3734,0.54149378
3735,0.54356846
3735,0.54564315
3735,0.54771784
3735,0.54979253
3735,0.55186722
3735,0.55394191
3735,0.55601660
3735,0.55809129
3735,0.56016598
3735,0.56224066
3735,0.56431535
3735,0.56639004
3736,0.56846473
3736,0.57053942
3736,0.57261411
3736,0.57468880
3736,0.57676349
3736,0.57883817
3736,0.58091286
3736,0.58298755
3736,0.58506224
3736,0.58713693
3736,0.58921162
3736,0.59128631
3736,0.59336100
3736,0.59543568
3736,0.59751037
3737,0.59958506
3737,0.60165975
3737,0.60373444
3738,0.60580913
3738,0.60788382
3738,0.60995851
3738,0.61203320
3738,0.61410788
3741,0.61618257
3741,0.61825726
3741,0.62033195
3741,0.62240664
3741,0.62448133
3741,0.62655602
3741,0.62863071
3741,0.63070539
3741,0.63278008
3741,0.63485477
3742,0.63692946
3742,0.63900415
3742,0.64107884
3742,0.64315353
3742,0.64522822
3742,0.64730290
3742,0.64937759
3742,0.65145228
3742,0.65352697
3742,0.65560166
3742,0.65767635
3743,0.65975104
3743,0.66182573
3743,0.66390041
3743,0.66597510
3743,0.66804979
3743,0.67012448
3743,0.67219917
3743,0.67427386
3743,0.67634855
3743,0.67842324
3743,0.68049793
3744,0.68257261
3744,0.68464730
3744,0.68672199
3744,0.68879668
3744,0.69087137
3744,0.69294606
3744,0.69502075
3744,0.69709544
3744,0.69917012
3744,0.70124481
3744,0.70331950
3744,0.70539419
3744,0.70746888
3744,0.70954357
3744,0.71161826
3744,0.71369295
3745,0.71576763
3745,0.71784232
3745,0.71991701
3745,0.72199170
3745,0.72406639
3745,0.72614108
3745,0.72821577
3745,0.73029046
3745,0.73236515
3745,0.73443983
3745,0.73651452
3745,0.73858921
3745,0.74066390
3745,0.74273859
3745,0.74481328
3746,0.74688797
3746,0.74896266
3746,0.75103734
3746,0.75311203
3746,0.75518672
3746,0.75726141
3746,0.75933610
3746,0.76141079
3746,0.76348548
3746,0.76556017
3840,0.76763485
3840,0.76970954
3841,0.77178423
3841,0.77385892
3841,0.77593361
3841,0.77800830
3841,0.78008299
3841,0.78215768
3841,0.78423237
3841,0.78630705
3841,0.78838174
3841,0.79045643
3841,0.79253112
3841,0.79460581
