Latency_us,CumulativeProbability
1738,0.89211618
1738,0.89419087
1738,0.89626556
1738,0.89834025
1738,0.90041494
1742,0.90248963
1742,0.90456432
1742,0.90663900
1742,0.90871369
1742,0.91078838
1742,0.91286307
1743,0.91493776
1743,0.91701245
1743,0.91908714
1743,0.92116183
1743,0.92323651
1743,0.92531120
1743,0.92738589
1743,0.92946058
1743,0.93153527
1743,0.93360996
1743,0.93568465
1743,0.93775934
1743,0.93983402
1743,0.94190871
1743,0.94398340
1743,0.94605809
1743,0.94813278
1743,0.95020747
1743,0.95228216
1743,0.95435685
1744,0.95643154
1744,0.95850622
1744,0.96058091
1744,0.96265560
1744,0.96473029
1744,0.96680498
1744,0.96887967
1744,0.97095436
1744,0.97302905
1744,0.97510373
1744,0.97717842
1744,0.97925311
1744,0.98132780
1744,0.98340249
1744,0.98547718
1744,0.98755187
1744,0.98962656
1744,0.99170124
1744,0.99377593
1744,0.99585062
1745,0.99792531
1745,1.00000000
