Timestamp(ms),Broker_0_GBps,Broker_1_GBps,Broker_2_GBps,Broker_3_GBps,Total_GBps
5981,3.40157,3.40157,0,3.25222,10.0554
5986,3.1971,3.06492,0,2.83775,9.09977
5992,3.54862,3.27854,0,3.47118,10.2983
5997,3.07655,2.84996,0,2.81811,8.74462
6002,3.29056,3.03383,0,3.06568,9.39007
6007,3.26061,3.03383,0,2.75803,9.05247
6012,3.13301,3.05405,0,3.03383,9.22089
6017,3.29323,2.92168,0,2.94189,9.1568
6022,3.30963,3.162,0,3.12576,9.5974
6027,3.11241,2.90565,0,2.66609,8.68416
6032,3.23105,3.12576,0,3.2177,9.57451
6037,3.03383,3.1229,0,2.73952,8.89626
6042,3.30963,3.03669,0,3.14426,9.49059
6047,3.03383,3.03383,0,2.60754,8.67519
6053,3.2177,3.11737,0,3.17841,9.51347
6058,3.03383,2.89497,0,2.76394,8.69274
6063,3.32127,3.18108,0,3.2177,9.72004
6068,3.10974,2.94189,0,2.66609,8.71773
6073,3.40595,3.11756,0,3.16658,9.69009
6078,3.2177,3.00045,0,3.08495,9.30309
6083,2.57416,3.25928,0,3.40157,9.235
6088,2.62356,3.2177,0,3.04546,8.88672
6093,2.68917,3.36151,0,3.298,9.34868
6098,2.34089,3.21846,0,3.11127,8.67062
6103,2.27528,2.88925,0,2.86446,8.02898
6108,2.20642,3.2177,0,2.9068,8.33092
6114,2.48222,2.91157,0,2.91977,8.31356
6119,2.29836,3.13034,0,2.99911,8.42781
6124,2.20642,2.78378,0,2.76966,7.75986
6129,2.23141,3.12576,0,2.65446,8.01163
6134,2.3653,3.0611,0,2.94189,8.3683
6139,2.29836,3.00655,0,2.94189,8.2468
6144,2.29836,2.9377,0,2.84996,8.08601
6149,2.42481,3.18604,0,2.84996,8.46081
6154,2.1719,3.1992,0,2.94189,8.31299
6159,2.40192,2.90432,0,2.87304,8.17928
6164,2.29168,3.12576,0,2.80628,8.22372
6169,2.39697,3.03383,0,3.00541,8.4362
6175,2.19479,2.99568,0,2.86732,8.05779
6180,2.40078,3.2547,0,2.97356,8.62904
6185,2.28786,2.99664,0,2.93083,8.21533
6190,2.53315,3.34797,0,3.04489,8.92601
6195,2.33936,3.03383,0,2.94189,8.31509
6200,2.2295,2.80914,0,2.94189,7.98054
6205,2.18334,3.0735,0,2.84996,8.1068
6210,2.51675,2.94304,0,2.93236,8.39214
6215,2.34203,3.2177,0,3.04337,8.6031
6220,2.34089,3.16906,0,2.94189,8.45184
6225,2.36149,3.03097,0,2.80647,8.19893
6230,2.29836,3.14274,0,3.03612,8.47721
6236,2.39029,3.06835,0,2.80704,8.26569
6241,2.41337,3.12576,0,3.02601,8.56514
6246,2.36454,3.30963,0,2.80781,8.48198
6251,2.31266,3.21846,0,3.1105,8.64162
6256,2.28672,3.125,0,2.99931,8.41103
6261,2.48222,2.48222,0,3.2177,8.18214
6266,2.48222,2.45724,0,2.94189,7.88136
6271,2.39029,2.41528,0,3.04546,7.85103
6276,2.5053,2.49386,0,3.02124,8.0204
6281,2.55108,2.47059,0,3.12672,8.14838
6286,2.29836,2.39029,0,2.94189,7.63054
6291,2.48222,2.29836,0,3.12576,7.90634
6297,2.2295,2.39029,0,2.57416,7.19395
6302,2.43263,2.41337,0,3.06797,7.91397
6307,2.4168,2.47002,0,3.45936,8.34618
6312,2.50206,2.47135,0,3.08075,8.05416
6317,2.55432,2.57416,0,2.44522,7.5737
6322,2.29836,2.28653,0,2.40955,6.99444
6327,2.57416,2.58656,0,2.63691,7.79762
6332,2.57416,2.48165,0,2.48222,7.53803
6337,2.57416,2.66609,0,2.65427,7.89452
6342,2.51846,2.48222,0,2.40364,7.40433
6347,2.53792,2.57416,0,2.4807,7.59277
