Timestamp(ms),Broker_0_GBps,Broker_1_GBps,Broker_2_GBps,Broker_3_GBps,Total_GBps
6527,3.03383,3.08781,3.12004,0,9.24168
6532,3.03383,2.97203,2.97489,0,8.98075
6537,2.66571,2.77748,2.61021,0,8.0534
6542,2.97852,2.83833,2.7153,0,8.53214
6547,2.98595,3.0756,3.0798,0,9.14135
6552,3.15857,2.90012,2.95296,0,9.01165
6558,2.81715,2.66609,2.48642,0,7.96967
6563,2.54917,2.48222,2.38152,0,7.41291
6568,2.87495,2.84996,2.89288,0,8.61778
6573,2.94189,3.03383,2.93694,0,8.91266
6578,3.12576,2.84996,2.89745,0,8.87318
6583,2.68955,2.75803,2.76966,0,8.21724
6588,3.1023,2.94189,2.83833,0,8.88252
6593,3.04546,2.94189,2.75841,0,8.74577
6599,2.91214,2.84996,2.80037,0,8.56247
6604,2.77615,2.57416,2.63538,0,7.98569
6609,2.94189,3.2177,2.94437,0,9.10397
6614,3.12576,2.94189,2.96917,0,9.03683
6619,2.94189,3.03383,2.90012,0,8.87585
6624,2.29836,2.20642,2.36893,0,6.8737
6629,3.04546,3.03383,2.97489,0,9.05418
6634,2.98767,2.90108,3.06587,0,8.95462
6639,3.06797,2.89078,2.80628,0,8.76503
6645,2.44522,2.48222,2.42043,0,7.34787
6650,2.79331,2.7523,2.81239,0,8.358
6655,3.11871,2.94762,2.79541,0,8.86173
6660,2.9871,2.84996,3.00388,0,8.84094
6665,2.44617,2.57416,2.65255,0,7.67288
6670,2.94189,2.66609,2.69527,0,8.30326
6675,3.02048,3.0302,3.00007,0,9.05075
6680,3.15075,2.91309,2.81124,0,8.87508
6685,2.6165,2.60658,2.46067,0,7.68375
6691,2.88792,2.84996,2.83642,0,8.5743
6696,2.84996,2.98309,2.84996,0,8.68301
6701,3.03383,3.7281,3.2177,0,9.97963
6706,2.75803,3.13587,2.7544,0,8.6483
6711,2.75803,3.02372,2.66972,0,8.45146
6716,3.12576,2.94189,2.89307,0,8.96072
6721,3.04546,3.02238,3.04813,0,9.11598
6726,2.65503,2.5856,2.67124,0,7.91187
6731,3.01552,2.84996,2.97127,0,8.83675
6737,2.95696,3.2177,2.95353,0,9.12819
6742,3.12843,3.06053,3.05672,0,9.24568
6747,2.84996,2.80361,2.78111,0,8.43468
6752,2.84996,2.77767,2.70042,0,8.32806
6757,3.03383,2.94189,2.94189,0,8.91762
6762,2.76966,2.61745,2.65484,0,8.04195
6767,2.56252,2.5219,2.47669,0,7.56111
6772,2.66609,2.64454,2.65789,0,7.96852
6778,2.7298,2.69661,2.72331,0,8.14972
6783,2.52552,2.57416,2.35806,0,7.45773
6788,2.46716,2.13394,2.29836,0,6.89945
6793,2.39029,2.2789,2.05441,0,6.72359
6798,2.75803,2.66914,2.81811,0,8.24528
6803,3.03383,3.12271,3.12576,0,9.2823
6808,3.12576,2.84996,3.02639,0,9.00211
6813,2.84996,2.98519,2.8574,0,8.69255
6818,2.952,2.8986,2.78816,0,8.63876
6824,3.39146,3.22952,3.01533,0,9.63631
6829,3.12576,2.85263,2.93026,0,8.90865
6834,2.39029,2.55966,2.48222,0,7.43217
6839,2.70138,2.8616,2.66514,0,8.22811
6844,3.09048,2.80342,2.85091,0,8.74481
6849,3.23029,3.01018,3.12576,0,9.36623
6854,3.09658,2.81658,2.82669,0,8.73985
6859,2.90108,2.84309,2.68936,0,8.43353
6864,3.09124,2.85683,2.9129,0,8.86097
6870,2.94189,2.94189,2.97089,0,8.85468
6875,2.75803,2.84996,2.68898,0,8.29697
6880,2.78111,2.57416,2.69527,0,8.05054
6885,3.06683,3.07922,2.95734,0,9.10339
6890,3.06969,2.98843,2.79408,0,8.8522
6895,2.94189,2.66609,2.83852,0,8.4465
6900,2.66609,2.57416,2.52018,0,7.76043
6905,2.95353,2.98271,2.8801,0,8.81634
6910,3.02219,2.90928,3.05748,0,8.98895
6916,2.94189,3.10879,2.94189,0,8.99258
6921,2.84996,2.58293,2.66609,0,8.09898
6926,3.12576,2.94189,2.94189,0,9.00955
6931,3.04546,3.05805,2.8265,0,8.93002
6936,3.02219,3.06988,3.05729,0,9.14936
6941,2.66609,2.55909,2.66609,0,7.89127
6946,2.87228,2.89669,2.84996,0,8.61893
6951,3.04203,3.12576,3.15685,0,9.32465
6956,3.37105,3.12576,3.18661,0,9.68342
6962,2.70596,2.93331,2.75803,0,8.39729
6967,3.20091,3.15285,3.03383,0,9.38759
6972,3.20625,3.13931,3.19481,0,9.54037
6977,3.298,3.09372,2.68955,0,9.08127
6982,3.03383,3.03383,2.51503,0,8.58269
6987,3.11909,2.95696,2.63271,0,8.70876
6992,3.13244,3.19958,2.84996,0,9.18198
6997,3.30963,3.12881,2.77061,0,9.20906
7003,2.48222,2.84996,2.56157,0,7.89375
7008,2.94151,3.12576,2.58083,0,8.64811
7013,2.94228,3.16925,2.93522,0,9.04675
7018,2.79503,2.99034,2.97642,0,8.76179
7023,2.91653,2.84996,2.63157,0,8.39806
7028,2.75803,3.06988,2.90604,0,8.73394
7033,2.93026,2.92835,2.83337,0,8.69198
7038,2.78358,2.73552,2.63309,0,8.1522
7043,3.03898,2.84996,2.84348,0,8.73241
7049,2.91119,3.05424,2.95353,0,8.91895
7054,2.4662,3.00465,3.02219,0,8.49304
7059,2.31438,3.22647,3.06835,0,8.6092
7064,2.26116,2.94189,2.86427,0,8.06732
7069,2.45056,3.03383,3.10001,0,8.5844
7074,2.27528,3.03383,2.83852,0,8.14762
7079,2.41852,3.02525,2.83833,0,8.28209
7084,2.11506,2.74544,2.57416,0,7.43465
7089,2.08569,2.59533,2.66609,0,7.34711
7095,2.41337,2.84996,2.84996,0,8.11329
7100,2.36721,3.03383,3.03383,0,8.43487
7105,2.48222,3.20778,3.09906,0,8.78906
7110,2.20642,2.76794,2.60086,0,7.57523
7115,1.964,2.66609,2.75478,0,7.38487
7120,2.44884,3.1044,2.96593,0,8.51917
7125,2.57416,3.11432,3.47271,0,9.16119
7130,2.5053,3.58982,2.50835,0,8.60348
7135,2.27604,2.51064,2.34737,0,7.13406
7141,2.59647,2.48222,2.53353,0,7.61223
7146,2.57416,2.59113,2.58617,0,7.75146
7151,2.55108,2.64912,2.61955,0,7.81975
7156,2.53811,2.48222,2.48222,0,7.50256
7161,2.3344,2.39029,2.40192,0,7.12662
