message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
512,10737418240,4,0,0,2,0,1,0,0,5542.17,0,0
1024,10737418240,4,0,0,2,0,1,0,0,5940.11,0,0
1024,10737418240,4,0,0,2,0,1,0,0,5843.08,0,0
1024,10737418240,4,0,0,2,0,1,0,0,5678.46,0,0
1024,10737418240,4,0,0,2,0,1,0,0,5074.96,0,0
1024,10737418240,4,0,0,2,0,1,0,0,6653.69,0,0
4096,10737418240,4,0,0,2,0,1,0,0,7460,0,0
4096,10737418240,4,0,0,2,0,1,0,0,7521.96,0,0
4096,10737418240,4,0,0,2,0,1,0,0,7582.67,0,0
4096,10737418240,4,0,0,2,0,1,0,0,6970.82,0,0
4096,10737418240,4,0,0,2,0,1,0,0,7462.74,0,0
65536,10737418240,4,0,0,2,0,1,0,0,7932.13,0,0
65536,10737418240,4,0,0,2,0,1,0,0,6811.51,0,0
65536,10737418240,4,0,0,2,0,1,0,0,7562.67,0,0
65536,10737418240,4,0,0,2,0,1,0,0,7767.09,0,0
65536,10737418240,4,0,0,2,0,1,0,0,7930.45,0,0
1048576,10737418240,4,0,0,2,0,1,0,0,7667.52,0,0
1048576,10737418240,4,0,0,2,0,1,0,0,7873.04,0,0
1048576,10737418240,4,0,0,2,0,1,0,0,7741.49,0,0
1048576,10737418240,4,0,0,2,0,1,0,0,7635.92,0,0
1048576,10737418240,4,0,0,2,0,1,0,0,7792.2,0,0
128,10737418240,4,2,0,1,0,1,0,0,2678.37,0,0
128,10737418240,4,2,0,1,0,1,0,0,3084.48,0,0
128,10737418240,4,2,0,1,0,1,0,0,3323.29,0,0
128,10737418240,4,2,0,1,0,1,0,0,2574.31,0,0
128,10737418240,4,2,0,1,0,1,0,0,3256.08,0,0
128,10737418240,4,2,0,2,0,1,0,0,2652.43,0,0
128,10737418240,4,2,0,2,0,1,0,0,2550.32,0,0
128,10737418240,4,2,0,2,0,1,0,0,2522.47,0,0
128,10737418240,4,2,0,2,0,1,0,0,2651.8,0,0
128,10737418240,4,2,0,2,0,1,0,0,2676.91,0,0
128,10737418240,4,2,0,3,0,1,0,0,1956.09,0,0
128,10737418240,4,2,0,3,0,1,0,0,3250.86,0,0
128,10737418240,4,2,0,3,0,1,0,0,3110.02,0,0
128,10737418240,4,2,0,3,0,1,0,0,2680.62,0,0
128,10737418240,4,2,0,3,0,1,0,0,2915.36,0,0
512,10737418240,4,2,0,1,0,1,0,0,6496.62,0,0
512,10737418240,4,2,0,1,0,1,0,0,6458.78,0,0
512,10737418240,4,2,0,1,0,1,0,0,7245.2,0,0
