message_size,total_message_size,num_threads,ack_level,order,replication_factor,replicate_tinode,num_clients,num_brokers_to_kill,failure_percentage,pubBandwidthMBps,subBandwidthMBps,e2eBandwidthMBps
4096,10737418240,4,2,0,2,0,1,0,0,4749.69,0,4749.61
4096,10737418240,4,2,0,2,0,1,0,0,5551.1,0,5511.58
4096,10737418240,4,2,0,2,0,1,0,0,5582.64,0,5536.44
4096,10737418240,4,2,0,2,0,1,0,0,5510.98,0,5474.74
4096,10737418240,4,2,0,2,0,1,0,0,5505.57,0,5354.17
4096,10737418240,4,2,0,3,0,1,0,0,4005.01,0,4005
4096,10737418240,4,2,0,3,0,1,0,0,3902.04,0,3902.03
4096,10737418240,4,2,0,3,0,1,0,0,4831.28,0,4651.32
4096,10737418240,4,2,0,3,0,1,0,0,4796.76,0,4514.01
4096,10737418240,4,2,0,3,0,1,0,0,4909.53,0,4682.83
65536,10737418240,4,2,0,1,0,1,0,0,7365.71,0,6493.8
65536,10737418240,4,2,0,1,0,1,0,0,7402.1,0,6817.07
65536,10737418240,4,2,0,1,0,1,0,0,7072.22,0,7072.2
65536,10737418240,4,2,0,1,0,1,0,0,7421.98,0,6363.32
65536,10737418240,4,2,0,1,0,1,0,0,8482.87,0,6590.28
65536,10737418240,4,2,0,2,0,1,0,0,5645.09,0,5268.13
65536,10737418240,4,2,0,2,0,1,0,0,5511.77,0,5511.76
65536,10737418240,4,2,0,2,0,1,0,0,5375.93,0,5375.92
65536,10737418240,4,2,0,2,0,1,0,0,5683.54,0,5627.9
65536,10737418240,4,2,0,2,0,1,0,0,5365.38,0,5365.38
65536,10737418240,4,2,0,3,0,1,0,0,5090.52,0,4536.11
65536,10737418240,4,2,0,3,0,1,0,0,3362.86,0,3362.86
65536,10737418240,4,2,0,3,0,1,0,0,5153.17,0,4707.34
65536,10737418240,4,2,0,3,0,1,0,0,3466.84,0,3466.78
65536,10737418240,4,2,0,3,0,1,0,0,3900.45,0,3900.4
1048576,10737418240,4,2,0,1,0,1,0,0,7098.1,0,7044.66
1048576,10737418240,4,2,0,1,0,1,0,0,7978.16,0,5788.53
1048576,10737418240,4,2,0,1,0,1,0,0,7225.11,0,7009.95
1048576,10737418240,4,2,0,1,0,1,0,0,7189.98,0,6910.55
1048576,10737418240,4,2,0,1,0,1,0,0,6879.18,0,6874.25
1048576,10737418240,4,2,0,2,0,1,0,0,5960.19,0,5271.71
1048576,10737418240,4,2,0,2,0,1,0,0,6051.18,0,5615.87
1048576,10737418240,4,2,0,2,0,1,0,0,6058.07,0,5509.95
1048576,10737418240,4,2,0,2,0,1,0,0,5649.24,0,5612.29
1048576,10737418240,4,2,0,2,0,1,0,0,5675.05,0,4666.97
1048576,10737418240,4,2,0,3,0,1,0,0,4102.96,0,4102.91
1048576,10737418240,4,2,0,3,0,1,0,0,4483.21,0,4480.15
1048576,10737418240,4,2,0,3,0,1,0,0,4168.66,0,4166.63
1048576,10737418240,4,2,0,3,0,1,0,0,4226.72,0,4224.64
1048576,10737418240,4,2,0,3,0,1,0,0,5897.14,0,5334.81
